token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
1056,GBPINR25814FUT,GBPINR,14AUG2025,-1.000000,1,FUTCUR,CDS,25000.000000
1058,GBPUSD25DEC1.38CE,GBPUSD,29DEC2025,13800000.000000,1,OPTCUR,CDS,1000.000000
10567,710GS203426MAR106PE,710GS2034,26MAR2026,1060000000.000000,1,OPTIRC,CDS,25000.000000
1062,679GS203425AUGFUT,679GS2034,28AUG2025,-1.000000,1,FUTIRC,CDS,25000.000000
10615,EURUSD25JUL1.105CE,EURUSD,29JUL2025,11050000.000000,1,OPTCUR,CDS,1000.000000
10623,EURUSD25JUL1.11CE,EURUSD,29JUL2025,11100000.000000,1,OPTCUR,CDS,1000.000000
10647,GBPINR25829118.75PE,GBPINR,29AUG2025,1187500000.000000,1,OPTCUR,CDS,25000.000000
1065,USDINR26FEBFUT,USDINR,25FEB2026,-1.000000,1,FUTCUR,CDS,25000.000000
10648,GBPINR25829119CE,GBPINR,29AUG2025,1190000000.000000,1,OPTCUR,CDS,25000.000000
10650,EURUSD25JUL1.12PE,EURUSD,29JUL2025,11200000.000000,1,OPTCUR,CDS,1000.000000
10652,EURUSD25JUL1.125PE,EURUSD,29JUL2025,11250000.000000,1,OPTCUR,CDS,1000.000000
10662,EURUSD25JUL1.145PE,EURUSD,29JUL2025,11450000.000000,1,OPTCUR,CDS,1000.000000
10663,EURUSD25JUL1.15CE,EURUSD,29JUL2025,11500000.000000,1,OPTCUR,CDS,1000.000000
10673,GBPINR25829119.75CE,GBPINR,29AUG2025,1197500000.000000,1,OPTCUR,CDS,25000.000000
10675,GBPINR25829120CE,GBPINR,29AUG2025,1200000000.000000,1,OPTCUR,CDS,25000.000000
1071,USDJPY26FEBFUT,USDJPY,25FEB2026,-1.000000,1,FUTCUR,CDS,100000.000000
10682,GBPINR25829120.5PE,GBPINR,29AUG2025,1205000000.000000,1,OPTCUR,CDS,25000.000000
