token,symbol
18423,RATNAVEER-EQ
18431,BIGBLOC-EQ
18562,MITTAL-EQ
1879,CARYSIL-EQ
18883,SJVN-EQ
19,STYRENIX-EQ
3048,SCI-EQ
1901,CUMMINSIND-EQ
3066,SESHAPAPER-EQ
31017,THOMASCOTT-EQ
19322,HISARMETAL-EQ
3127,BARBEQUE-EQ
3129,TRANSWORLD-EQ
19410,ROSSARI-EQ
31181,MCX-EQ
19631,PRICOLLTD-EQ
19640,ALPHAETF-EQ
31507,JPOLYINVST-EQ
3247,NITIRAJ-EQ
19877,RADIOCITY-EQ
338,BALMLAWRIE-EQ
3389,AGARIND-EQ
3475,THERMAX-EQ
3570,UCAL-EQ
20223,CLEDUCATE-EQ
20257,ESILVER-EQ
2031,M&M-EQ
20293,TATATECH-EQ
3703,VIPIND-EQ
20413,IOLCP-EQ
3766,WHEELS-EQ
3787,WIPRO-EQ
3813,ARIHANTCAP-EQ
393,GLOBE-EQ
4041,JAYAGROGN-EQ
4064,CUBEXTUB-EQ
4244,HDFCAMC-EQ
445,5PAISA-EQ
4963,ICICIBANK-EQ
5143,JAICORPLTD-EQ
5186,STYLAMIND-EQ
5264,PDSL-EQ
5373,DEVYANI-EQ
5378,ASAHIINDIA-EQ
5407,CARTRADE-EQ
547,BRITANNIA-EQ
20621,PENIND-EQ
5606,INTLCONV-EQ
5614,GANESHBE-EQ
5622,ITDCEM-EQ
20778,JAMNAAUTO-EQ
578,LIKHITHA-EQ
5782,MASPTOP50-EQ
5851,BANKNIFTY1-EQ
5938,MONTECARLO-EQ
20788,MOTISONS-EQ
20825,HUDCO-EQ
20830,MOIL-EQ
6045,PASUPTAC-EQ
2106,MANGLMCEM-EQ
21154,ERIS-EQ
21247,DIGIDRIVE-EQ
21399,GANGESSECU-EQ
6227,DTIL-EQ
6232,3IINFOLTD-EQ
21423,MOM100-EQ
637,CHAMBLFERT-EQ
641,DNAMEDIA-EQ
6353,NIFTYETF-EQ
21469,OPTIEMUS-EQ
21501,SIS-EQ
21705,MEDIASSIST-EQ
6545,NYKAA-EQ
6792,SBC-EQ
21770,ICICIGI-EQ
2181,BOSCHLTD-EQ
6913,RPPL-EQ
703,DICIND-EQ
7048,HESTERBIO-EQ
7218,SBIETFQLTY-EQ
2814,ARVEE-EQ
28125,IKS-EQ
2829,ANURAS-EQ
2866,RCF-EQ
22255,NDRAUTO-EQ
28906,MAYURUNIQ-EQ
28913,ROSSELLIND-EQ
22488,NIFITETF-EQ
29087,QUADFUTURE-EQ
29171,LAXMIDENTL-EQ
22656,SIGNPOST-EQ
22670,RPTECH-EQ
22722,LICNMID100-EQ
29464,NEXT30ADD-EQ
22947,EXICOM-EQ
22980,MUKKA-EQ
29583,NATCAPSUQ-EQ
29624,AJAXENGG-EQ
2320,SMCGLOBAL-EQ
