symbol,token
LIBAS-EQ,11082
GHCL-EQ,1127
COFFEEDAY-EQ,11165
SILVER360-EQ,756150
UNIENTER-EQ,11293
TEXINFRA-EQ,11549
GUFICBIO-EQ,11606
INDOCO-EQ,11677
ALKEM-EQ,11703
CRISIL-EQ,757
ACEINTEG-EQ,11779
MANGALAM-EQ,11817
WELCORP-EQ,11821
PRIMESECU-EQ,11864
AONENIFTY-EQ,757096
IMPAL-EQ,12009
EQUAL50-EQ,757142
DOLATALGO-EQ,12124
MUTHOOTMF-EQ,20831
CASTROLIND-EQ,1250
STARCEMENT-EQ,21091
AUBANK-EQ,21238
ROUTE-EQ,128
11NSETEST-EQ,12841
N1NSETEST-EQ,12848
NPBET-EQ,12978
PVRINOX-EQ,13147
MATRIMONY-EQ,21726
LANDMARK-EQ,13276
LIQUIDCASE-EQ,21750
SBILIFE-EQ,21808
BLKASHYAP-EQ,13290
NITCO-EQ,13300
SOLARINDS-EQ,13332
SUNDARMHLD-EQ,2183
RSYSTEMS-EQ,13414
EMAMILTD-EQ,13517
HFCL-EQ,21951
HIMATSEIDE-EQ,1360
ANANTRAJ-EQ,13620
JMFINANCIL-EQ,13637
NAUKRI-EQ,13751
MANOMAY-EQ,13753
SHIVAMAUTO-EQ,13756
SOBHA-EQ,13826
JINDRILL-EQ,13875
HIRECT-EQ,13890
LIQUID1-EQ,13950
WORTH-EQ,22277
HDFCNIFBAN-EQ,22433
NINSYS-EQ,14194
HDFCMID150-EQ,14236
TVSSRICHAK-EQ,14245
PENINLAND-EQ,2256
REDINGTON-EQ,14255
PFC-EQ,14299
GANESHHOUC-EQ,14339
GODREJAGRO-EQ,144
AMDIND-EQ,14398
GPTHEALTH-EQ,22846
BIRLANU-EQ,1455
GOLDSHARE-EQ,14535
SRHHYPOLTD-EQ,14582
WEBELSOLAR-EQ,14602
LANCORHOL-EQ,23027
ADVANIHOTR-EQ,14745
051NSETEST-EQ,14758
071NSETEST-EQ,14764
JGCHEM-EQ,23056
101NSETEST-EQ,14772
121NSETEST-EQ,14777
DECCANCE-EQ,14838
KDDL-EQ,14908
RGL-EQ,15129
KAUSHALYA-EQ,15136
171NSETEST-EQ,23446
SHALPAINTS-EQ,15342
RECLTD-EQ,15355
TITAGARH-EQ,15414
RKEC-EQ,1547
DPSCLTD-EQ,15419
GMMPFAUDLR-EQ,1570
IPCALAB-EQ,1633
BAJAJ-AUTO-EQ,16669
BAJAJFINSV-EQ,16675
RPGLIFE-EQ,16725
ARCHIDPLY-EQ,16795
MIDSMALL-EQ,23855
SANDHAR-EQ,2397
JAYSREETEA-EQ,1720
ALBERTDAVD-EQ,17256
SENCO-EQ,17271
BLS-EQ,17279
PREMEXPLN-EQ,17397
TOP100CASE-EQ,24081
SENSEXADD-EQ,17613
RAILTEL-EQ,2431
DEN-EQ,17722
SARDAEN-EQ,17758
QUAL30IETF-EQ,17808
BAYERCROP-EQ,17927
COHANCE-EQ,17945
SPAL-EQ,18252
GROWWEV-EQ,24798
LGBBROSLTD-EQ,18321
RBLBANK-EQ,18391
ADANIENT-EQ,25
CUPID-EQ,18520
MULTICAP-EQ,25080
JLHL-EQ,18553
DIAMINESQ-EQ,18644
OSWALAGRO-EQ,2514
STYLEBAAZA-EQ,25114
IDFNIFTYET-EQ,18783
UNIVASTU-EQ,18977
VASWANI-EQ,25340
JSWINFRA-EQ,19020
ITBEES-EQ,19084
NBIFIN-EQ,19111
WCIL-EQ,25403
MONIFTY500-EQ,19237
AHLEAST-EQ,19438
BBNPPGOLD-EQ,20547
INDIASHLTR-EQ,20556
JINDWORLD-EQ,20642
BHANDARI-EQ,19556
BSE-EQ,19585
ITETF-EQ,19633
CELLO-EQ,19795
SASTASUNDR-EQ,20063
PSB-EQ,21001
